b1,b2,b3,b4,b5,b6,b7,col,row
-47.0,-61.0,-67.0,-52.0,-54.0,-60.0,-54.0,1,1
-47.0,-61.0,-67.0,-53.0,-54.0,-60.0,-53.0,1,1
-47.0,-61.0,-67.0,-53.0,-54.0,-56.0,-53.0,1,1
-47.0,-62.0,-66.0,-52.0,-52.0,-60.0,-53.0,1,1
-47.0,-61.0,-67.0,-53.0,-54.0,-61.0,-53.0,1,1
-48.0,-61.0,-67.0,-53.0,-53.0,-56.0,-53.0,1,1
-47.0,-62.0,-67.0,-53.0,-53.0,-58.0,-53.0,1,1
-47.0,-62.0,-67.0,-53.0,-56.0,-59.0,-53.0,1,1
-47.0,-61.0,-67.0,-54.0,-54.0,-59.0,-53.0,1,1
-47.0,-62.0,-68.0,-54.0,-53.0,-61.0,-53.0,1,1
-47.0,-62.0,-67.0,-53.0,-54.0,-60.0,-55.0,1,1
-48.0,-62.0,-67.0,-52.0,-54.0,-59.0,-53.0,1,1
-47.0,-62.0,-67.0,-54.0,-54.0,-59.0,-53.0,1,1
-47.0,-62.0,-66.0,-52.0,-54.0,-60.0,-53.0,1,1
-47.0,-61.0,-67.0,-55.0,-54.0,-58.0,-51.0,1,1
-48.0,-61.0,-66.0,-54.0,-54.0,-57.0,-52.0,1,1
-54.0,-59.0,-60.0,-50.0,-59.0,-62.0,-54.0,2,1
-55.0,-60.0,-60.0,-50.0,-58.0,-62.0,-57.0,2,1
-56.0,-61.0,-61.0,-50.0,-59.0,-62.0,-59.0,2,1
-56.0,-61.0,-61.0,-50.0,-62.0,-63.0,-59.0,2,1
-55.0,-61.0,-61.0,-50.0,-60.0,-62.0,-57.0,2,1
-54.0,-61.0,-61.0,-50.0,-61.0,-62.0,-54.0,2,1
-55.0,-60.0,-61.0,-50.0,-58.0,-62.0,-55.0,2,1
-55.0,-60.0,-59.0,-50.0,-58.0,-63.0,-55.0,2,1
-53.0,-60.0,-59.0,-50.0,-56.0,-62.0,-56.0,2,1
-55.0,-60.0,-62.0,-50.0,-60.0,-62.0,-53.0,2,1
-55.0,-60.0,-61.0,-50.0,-59.0,-62.0,-53.0,2,1
-55.0,-58.0,-58.0,-50.0,-59.0,-62.0,-54.0,2,1
-55.0,-60.0,-59.0,-50.0,-59.0,-62.0,-55.0,2,1
-56.0,-60.0,-59.0,-50.0,-59.0,-62.0,-53.0,2,1
-56.0,-60.0,-59.0,-50.0,-62.0,-62.0,-55.0,2,1
-56.0,-61.0,-59.0,-50.0,-56.0,-64.0,-55.0,2,1
-51.0,-57.0,-60.0,-52.0,-55.0,-54.0,-55.0,3,1
-49.0,-57.0,-60.0,-51.0,-55.0,-55.0,-55.0,3,1
-52.0,-56.0,-59.0,-51.0,-53.0,-56.0,-57.0,3,1
-52.0,-57.0,-60.0,-51.0,-54.0,-56.0,-57.0,3,1
-52.0,-57.0,-60.0,-51.0,-52.0,-56.0,-57.0,3,1
-52.0,-57.0,-60.0,-51.0,-54.0,-56.0,-57.0,3,1
-52.0,-57.0,-60.0,-51.0,-54.0,-56.0,-58.0,3,1
-52.0,-57.0,-61.0,-52.0,-54.0,-57.0,-58.0,3,1
